TIME,GEO,UNIT,S_ADJ,NA_ITEM,Value,Flag and Footnotes
2005Q3,Spain,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"257,536.0",
2005Q3,France,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"480,971.0",
2005Q3,Croatia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"11,102.7",
2005Q3,Italy,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"409,586.2",
2005Q3,Cyprus,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,276.2",
2005Q3,Latvia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,627.1",
2005Q3,Lithuania,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"6,690.6",
2005Q3,Luxembourg,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"9,014.2",
2005Q3,Hungary,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"24,891.5",
2005Q3,Malta,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"1,502.2",
2005Q3,Netherlands,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"149,057.5",
2005Q3,Austria,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"69,241.4",
2005Q3,Poland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"72,418.0",
2005Q3,Portugal,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"43,514.5",
2005Q3,Romania,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"27,466.9",
2005Q3,Slovenia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"8,346.2",
2005Q3,Finland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"45,072.0",
2005Q3,Sweden,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"85,618.1",
2005Q3,United Kingdom,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"451,990.2",
2005Q3,Norway,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"77,609.9",
2005Q3,Switzerland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"98,799.5",
2005Q3,Serbia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"6,581.4",
2005Q4,Belgium,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"85,967.7",
2005Q4,Bulgaria,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"8,234.5",
2005Q4,Czech Republic,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"35,386.7",
2005Q4,Denmark,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"60,626.8",
2005Q4,Germany (until 1990 former territory of the FRG),"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"610,910.0",
2005Q4,Estonia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"3,878.6",
2005Q4,Ireland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"42,108.3",
2005Q4,Greece,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"58,141.2",
2005Q4,Spain,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"260,214.0",
2005Q4,France,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"484,181.0",
2005Q4,Croatia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"11,185.4",
2005Q4,Italy,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"410,435.1",
2005Q4,Cyprus,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,323.8",
2005Q4,Latvia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,783.6",
2005Q4,Lithuania,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"6,844.4",
2005Q4,Luxembourg,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"9,049.1",
2005Q4,Hungary,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"25,188.0",
2005Q4,Malta,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"1,514.4",
2005Q4,Netherlands,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"149,951.3",
2005Q4,Austria,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"69,938.8",
2005Q4,Poland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"73,009.0",
2005Q4,Portugal,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"43,605.4",
2005Q4,Romania,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"28,052.6",
2005Q4,Slovenia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"8,485.9",
2005Q4,Finland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"45,242.0",
2005Q4,Sweden,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"86,185.8",
2005Q4,United Kingdom,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"458,115.1",
2005Q4,Norway,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"77,784.5",
2005Q4,Switzerland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"99,814.9",
2005Q4,Serbia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"6,689.8",
2006Q1,Belgium,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"86,522.3",
2006Q1,Bulgaria,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"8,359.3",
2006Q1,Czech Republic,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"36,199.0",
2006Q1,Denmark,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"61,388.7",
2006Q1,Germany (until 1990 former territory of the FRG),"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"616,650.2",
2006Q1,Estonia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,013.4",
2006Q1,Ireland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"42,751.2",
2006Q1,Greece,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"59,999.9",
2006Q1,Spain,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"263,041.0",
2006Q1,France,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"488,307.0",
2006Q1,Croatia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"11,323.6",
2006Q1,Italy,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"412,437.9",
2006Q1,Cyprus,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,392.9",
2006Q1,Latvia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,794.4",
2006Q1,Lithuania,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"6,867.0",
2006Q1,Luxembourg,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"9,207.9",
2006Q1,Hungary,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"25,379.3",
2006Q1,Malta,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"1,501.1",
2006Q1,Netherlands,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"151,102.9",
2006Q1,Austria,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"70,527.1",
2006Q1,Poland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"74,337.8",
2006Q1,Portugal,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"43,955.1",
2006Q1,Romania,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"28,813.9",
2006Q1,Slovenia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"8,556.0",
2006Q1,Finland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"46,255.0",
2006Q1,Sweden,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"87,862.0",
2006Q1,United Kingdom,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"459,624.8",
2006Q1,Norway,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"78,285.3",
2006Q1,Switzerland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"100,978.9",
2006Q1,Serbia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"6,731.8",
2006Q2,Belgium,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"86,801.5",
2006Q2,Bulgaria,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"8,508.3",
2006Q2,Czech Republic,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"36,859.7",
2006Q2,Denmark,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"63,219.6",
2006Q2,Germany (until 1990 former territory of the FRG),"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"626,390.1",
2006Q2,Estonia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,067.6",
2006Q2,Ireland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"43,030.8",
2006Q2,Greece,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"60,210.9",
2006Q2,Spain,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"265,781.0",
2006Q2,France,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"492,662.0",
2006Q2,Croatia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"11,430.7",
2006Q2,Italy,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"414,814.8",
2006Q2,Cyprus,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,441.5",
2006Q2,Latvia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"5,000.9",
2006Q2,Lithuania,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"7,031.6",
2006Q2,Luxembourg,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"9,287.0",
2006Q2,Hungary,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"25,720.7",
2006Q2,Malta,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"1,515.5",
2006Q2,Netherlands,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"153,312.1",
2006Q2,Austria,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"71,194.4",
2006Q2,Poland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"75,347.7",
2006Q2,Portugal,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"44,363.5",
2006Q2,Romania,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"29,273.6",
2006Q2,Slovenia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"8,736.6",
2006Q2,Finland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"46,496.0",
2006Q2,Sweden,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"88,899.4",
2006Q2,United Kingdom,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"460,688.3",
2006Q2,Norway,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"78,383.1",
2006Q2,Switzerland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"101,795.1",
2006Q2,Serbia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"6,764.1",
2006Q3,Belgium,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"87,507.1",
2006Q3,Bulgaria,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"8,693.8",
2006Q3,Czech Republic,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"37,368.3",
2006Q3,Denmark,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"62,797.9",
2006Q3,Germany (until 1990 former territory of the FRG),"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"632,711.4",
2006Q3,Estonia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,210.9",
2006Q3,Ireland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"43,814.2",
2006Q3,Greece,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"60,511.4",
2006Q3,Spain,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"268,413.0",
2006Q3,France,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"492,923.0",
2006Q3,Croatia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"11,647.5",
2006Q3,Italy,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"416,418.3",
2006Q3,Cyprus,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,458.3",
2006Q3,Latvia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"5,154.6",
2006Q3,Lithuania,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"7,153.9",
2006Q3,Luxembourg,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"9,381.2",
2006Q3,Hungary,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"25,882.1",
2006Q3,Malta,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"1,521.9",
2006Q3,Netherlands,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"154,056.7",
2006Q3,Austria,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"71,762.4",
2006Q3,Poland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"77,057.3",
2006Q3,Portugal,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"44,287.5",
2006Q3,Romania,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"29,775.3",
2006Q3,Slovenia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"8,886.4",
2006Q3,Finland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"46,852.0",
2006Q3,Sweden,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"90,058.8",
2006Q3,United Kingdom,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"461,345.4",
2006Q3,Norway,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"79,187.6",
2006Q3,Switzerland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"102,678.9",
2006Q3,Serbia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"6,848.2",
2006Q4,Belgium,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"88,447.5",
2006Q4,Bulgaria,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"8,850.8",
2006Q4,Czech Republic,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"37,895.7",
2006Q4,Denmark,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"62,627.8",
2006Q4,Germany (until 1990 former territory of the FRG),"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"641,032.3",
2006Q4,Estonia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,273.5",
2006Q4,Ireland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"43,531.1",
2006Q4,Greece,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"62,046.5",
2006Q4,Spain,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"270,956.0",
